month,lat,lon,max_temp_c
static,4.199624,35.371164,606.0000
static,4.199624,35.416080,623.0000
static,4.199624,35.460996,652.0000
static,4.199624,35.505912,867.0000
static,4.199624,35.550827,999.0000
static,4.199624,35.595743,1058.0000
static,4.199624,35.640659,925.0000
static,4.199624,35.685575,624.0000
static,4.199624,35.730490,711.0000
static,4.199624,35.775406,732.0000
static,4.199624,35.820322,749.0000
static,4.199624,35.865238,419.0000
static,4.199624,35.910153,375.0000
static,4.199624,35.955069,361.0000
static,4.199624,35.999985,361.0000
static,4.199624,36.044901,361.0000
static,4.199624,36.089817,361.0000
static,4.199624,36.134732,361.0000
static,4.199624,36.179648,361.0000
static,4.199624,36.224564,370.0000
static,4.199624,36.269480,397.0000
static,4.199624,36.314395,460.0000
static,4.199624,36.359311,451.0000
static,4.199624,36.404227,485.0000
static,4.199624,36.449143,542.0000
static,4.199624,36.494058,563.0000
static,4.199624,36.538974,562.0000
static,4.199624,36.583890,547.0000
static,4.199624,36.628806,547.0000
static,4.199624,36.673721,583.0000
static,4.199624,36.718637,713.0000
static,4.199624,36.763553,812.0000
static,4.199624,36.808469,826.0000
static,4.199624,36.853385,739.0000
static,4.199624,36.898300,724.0000
static,4.199624,36.943216,760.0000
static,4.199624,36.988132,769.0000
static,4.199624,37.033048,857.0000
static,4.199624,37.077963,803.0000
static,4.199624,37.122879,769.0000
static,4.199624,37.167795,771.0000
static,4.199624,37.212711,778.0000
static,4.199624,37.257626,772.0000
static,4.199624,37.302542,824.0000
static,4.199624,40.536477,929.0000
static,4.199624,40.581393,905.0000
static,4.199624,40.626309,846.0000
static,4.199624,40.671224,809.0000
static,4.199624,40.716140,760.0000
static,4.199624,40.761056,744.0000
static,4.199624,40.805972,668.0000
static,4.199624,40.850888,582.0000
static,4.199624,40.895803,401.0000
static,4.154708,34.068607,946.0000
static,4.154708,34.113523,821.0000
static,4.154708,34.158439,766.0000
static,4.154708,34.203354,736.0000
static,4.154708,34.248270,714.0000
static,4.154708,34.293186,692.0000
static,4.154708,34.338102,689.0000
static,4.154708,34.383017,670.0000
static,4.154708,34.427933,631.0000
static,4.154708,34.472849,586.0000
static,4.154708,34.517765,573.0000
static,4.154708,34.562681,560.0000
static,4.154708,34.607596,548.0000
static,4.154708,34.652512,532.0000
static,4.154708,34.697428,525.0000
static,4.154708,34.742344,520.0000
static,4.154708,34.787259,514.0000
static,4.154708,34.832175,513.0000
static,4.154708,34.877091,514.0000
static,4.154708,34.922007,512.0000
static,4.154708,34.966922,510.0000
static,4.154708,35.011838,509.0000
static,4.154708,35.056754,507.0000
static,4.154708,35.101670,510.0000
static,4.154708,35.146585,524.0000
static,4.154708,35.191501,533.0000
static,4.154708,35.236417,544.0000
static,4.154708,35.281333,559.0000
static,4.154708,35.326249,592.0000
static,4.154708,35.371164,616.0000
static,4.154708,35.416080,635.0000
static,4.154708,35.460996,657.0000
static,4.154708,35.505912,891.0000
static,4.154708,35.550827,1078.0000
static,4.154708,35.595743,1139.0000
static,4.154708,35.640659,1100.0000
static,4.154708,35.685575,592.0000
static,4.154708,35.730490,616.0000
static,4.154708,35.775406,680.0000
static,4.154708,35.820322,665.0000
static,4.154708,35.865238,410.0000
static,4.154708,35.910153,376.0000
static,4.154708,35.955069,361.0000
static,4.154708,35.999985,361.0000
static,4.154708,36.044901,361.0000
static,4.154708,36.089817,361.0000
static,4.154708,36.134732,361.0000
